제목,저자,발행처
(놀라운) 리얼 종이접기 :한차원 업그레이드된 살아 있는 창작 종이접기 .2 하늘을 나는 생물편,후쿠이 히사오 지음,에밀
(뇌가 섹시해지는) 추리 퀴즈 :초급자를 위한 추리지수 높이는 10분 두뇌 게임! .1단계,팀 데도풀로스 지음,비전비엔피: 비전코리아
(뇌영상으로 보는) 뇌과학 =Neuroscience via brain imaging,조장희,뉴턴코리아
(누구나 그릴 수 있는) 색연필 일러스트 10000개 :초간단 색연필화,페이러냐오 지음,이종(EJONG)
(누구나 쉽게 따라하는) 코바늘 손뜨개 =Motif ＆ edging of crochet lace,NHK출판사 편집부 지음,미호
(누구나 한번쯤 읽어야 할) 손자병법 :읽으면 힘을 얻고 깨달음을 주는 지혜의 고전,미리내공방 편저,정민미디어
(다시 듣는) 김광한의 팝스다이얼 :Kim Kwang-han's life story 1946 2015,김광한 지음,북레시피
(다시 읽고 싶은) 한국행정학 좋은 논문 13선,박순애,박영사
(닥터독의) 강아지 수제간식 레시피 :초보자도 쉽게 오븐 없이 만드는 친환경 반려견 영양 간식 40,닥터독 지음,매경출판: 매일경제신문사
(대학생을 위한) 서양철학사 =Western philosophy for university students,양해림 [저],집문당
(대한민국에서) 범죄피해자가 되지 않는 법 :나를 구하는 범죄 예방 습관,배상훈 지음,스노우폭스북스(Snowfox)
(데일 카네기의) 자기관리론,데일 카네기 지음,미르컴퍼니
(도미니크 로로의) 모두 제자리,도미니크 로로 지음,영인미디어
(도표로 읽는) 유식 입문 :마음이란 무엇인가,안환기 글,민족사
(독서의 궁극) 서평 잘 쓰는 법 :읽는 독서에서 쓰는 독서로,조현행 지음,생애
(동영상으로 배우는) 신 왕초보 중국어 첫걸음,한민이 지음,넥서스CHINESE
(두뇌가 즐거운) 미로찾기 :집중력 사고력 향상에 도움이 되는 미로 찾기,윤영화 그림,열린생각
(디리클레가 들려주는) 함수 1 이야기,김승태 지음,자음과모음
(디자인 전공생이 알아야 할) 디자인분쟁,김광식,청람
(따로 또 같이) 삼국 탄생,이현 글,휴먼어린이
(뚱딴지 선생님과 재미있게 배우는) 그림책 활동 수업,김혜진 지음,학교도서관저널
(레닌저) 생화학 .상,David L. Nelson,월드사이언스
(레닌저) 생화학 .하,David L. Nelson,월드사이언스
(리처드 도킨스의) 영혼이 숨 쉬는 과학 :열정적인 합리주의자의 이성 예찬,리처드 도킨스 지음,김영사
(마구로 센세의) 일본어 메뉴판 마스터,나인완 지음,브레인스토어
(마구로 센세의) 일본어 편의점 마스터 :일본 편의점 제대로 이용하는 능력치 키우기,나인완 지음,브레인스토어
(마유영어) 입영작 영어회화 :입으로 영어 문장 만들기 .1 영어로 잘 물어보기,마스터유진 지음,사람in
(마음까지 따듯해지는) 북유럽 스타일 손뜨개 모자,applemints 지음,참돌
(마인크래프트) 크리에이티브 가이드,Stephanie Milton [지음],영진닷컴
(만화) 나의 문화유산답사기 .4 경주,유홍준 원작,녹색지팡이&프레스
(만화) 노자,저우춘차이 글?그림,가갸날
(만화) 삼국지 .1 난세의 영웅들,이현세 글?그림,녹색지팡이: 녹색지팡이&프레스
(만화) 삼국지 .8 셋으로 나누어 서다,이현세 [글?그림],녹색지팡이: 녹색지팡이&프레스
(만화로 쉽게 배우는) 반도체 :반도체 고유의 특이한 성질을 재미있게 풀어낸 해설서,Michio Shibuya 저,BM성안당
(만화보다 더 재밌는) 시간 여행자의 일기장 :선사 시대부터 달 착륙까지 궁금한 과거로 떠나는 28번의 신기한 역사 여행!,데이비드 롱 글,찰리북
(맛있게 뚝딱!) 양배추 :집밥에 어울리는 건강 기본 반찬 & 요리 레시피,이시하라 유미 지음,넥서스: 넥서스books
(맛있게 뚝딱!) 양파 :집밥에 어울리는 건강 기본 반찬 & 요리 레시피,이시하라 유미 지음,넥서스: 넥서스books
(매혹적인 선으로 세상을 사로잡은) 알폰스 무하 =Alphonse Maria Mucha,장우진 지음,책우리
(맨 처음 우리나라) 고조선,이현 글,휴먼어린이
(머리에 쏙쏙 들어오는) 초등 어휘 100 :위인들이 알려주는~ 알쏭달쏭 낱말 이야기,오승현 지음,부즈펌 : 부즈펌어린이
(모든 그림 그리는 이들을 위한) 석가의 해부학 노트 =Stonehouse's anatomy note,석정현 지음,성안당
(모양도 쓸모도 제각각) 조상들의 도구,이영민 글,주니어랜덤
(무엇이든 해결단) 허팝 연구소 .5 곤충 숲 미스터리 대소동,라곰씨 글,라이카미: 부즈펌
(무작정 따라하기) 오사카?교토 :고베?나라?와카야마 : 2017-2018 최신판 .1 가서 보는 코스북 =Osaka?Kyoto,홍유진,길벗
(문화와 권력으로 본) 도시탐구,존 레니에 쇼트 지음,한울
(미국을 만든) 50개 주 이야기 :이름에 숨겨진 매혹적인 역사를 읽다,김동섭 지음,미래의창
(미니멀라이프) 수납법 :인기 미니멀리스트 33인의 수납 아이디어,주부의 벗 편집부 [지음],즐거운상상
(미래가 온다) 기후 위기,김성화,와이즈만 Books
(미래가 온다) 인공 지능,김성화,와이즈만 Books
(미래과학상식) 도티&잠뜰 해양과학 :바다 괴물 꼼짝 마!,권영 글,대원키즈: 대원씨아이
(미하일 체홉의) 배우에게,미하일 체홉 [저],동인
(박문호 박사의) 빅히스토리 공부 :우주의 탄생부터 인간 의식의 출현까지 =History of the universe,박문호 지음,김영사
(박시백의) 조선왕조실록 .3 태종실록 =The Annals of the Joseon dynasty,박시백 글.그림,휴머니스트
(박시백의) 조선왕조실록 .4 세종?문종실록 =The Annals of the Joseon dynasty,박시백 글.그림,휴머니스트
(박시백의) 조선왕조실록 :대하역사만화 .3 태종실록 : 왕권을 세우다,박시백 글?그림,휴머니스트 출판그룹
(배빵빵) 일본 식탐여행 :한 그릇 더!,타카기 나오코 만화,애니북스
(뱀파이어의 미스터리) 탐정과학 :교과서 연계 과학 개념?원리,노지영 지음,글송이
(뱃살을 줄이는) 한 끼 샐러드 :탄수화물 중독을 이기는 112 한 접시,레시피 연구소 그린즈 지음,세상풍경
(복지국가 개혁의) 도전과 응전 :복지국가정치의 비교연구,키스 반 커스버겐,나눔의집
(비밀이야의) 맛있는 스페인 :블로거 비밀이야의 스페인 미식 여행 가이드,배동렬 글?사진,BR미디어
(빅데이터로 보는) 반려동물산업과 미래 :big data,최경선 지음,박영story : 피와이메이트
(빠알리 경장) 상윳따니까야 :주제별로 모은 경[相應部] .제3권 오온을 위주로 한 가르침 =Sa?yutta Nik?ya,각묵 옮김,초기불전연구원
(사례로 풀어보는) 공무원 역량평가 A to Z,엄현택 지음,퍼플(PUBPLE)
(사회선생님이 뽑은) 우리 사회를 움직인 판결,전국사회교사모임 지음,휴머니스트
(새로 만든) 먼나라 이웃나라 .6 이탈리아 =Italy,이원복 글?그림,김영사
(서울대 삼 형제의) 스노볼 공부법 :세 아들을 서울대 보낸 엄마가 알려주는 초등 첫 공부 습관,윤인숙 지음,심야책방
(선과 색의 어울림) 뱀,이태원 지음,씨밀레북스
(선생님이 교과서에서 뽑은) 힘과 운동,김형근 글,지경사
(설민석의) 세계사 대모험 .1 프랑스혁명 속으로!,설민석,단꿈아이: 단꿈드림
(설민석의) 세계사 대모험 .5 이탈리아 편 : 위기의 르네상스,설민석,단꿈아이(Dankkumi)
(설민석의) 세계사 대모험 .7 미국 편 : 미국의 두 얼굴,설민석,단꿈아이(Dankkumi)
(설민석의) 한국사 대모험 .1 특명! 온달을 역사 천재로 만들어라!,설민석,휴먼큐브: 아이휴먼
(설민석의) 한국사 대모험 .3 온달 왕의 시험에 대비하라!,설민석,휴먼큐브: 아이휴먼
(설민석의) 한국사 대모험 .5 조선 시대 편,설민석,휴먼큐브: 아이휴먼
(설민석의) 한국사 대모험 .6 역사 속 라이벌 편 - 설쌤과 황 대감 화해 대작전!,설민석,휴먼큐브: 아이휴먼
(세계 역사와 지도를 바꾼) 흙의 전쟁 :황금 석유 다이아몬드 구리 백반 퍼플 구아노,도현신 지음,이다(이다북스)
(세계를 담은) 한글,이현정 글,과학동아북스
(세계사도 함께 배우는) 와글와글 만화 한국사 대탐험 .1 고조선과 여러 나라,최금락 글,보랏빛소
(세계사도 함께 배우는) 와글와글 만화 한국사 대탐험 .2 삼국과 가야,최은영 글,보랏빛소
(세계사도 함께 배우는) 와글와글 만화 한국사 대탐험 .3 통일 신라와 발해,김승민 글,보랏빛소
(세계사도 함께 배우는) 와글와글 만화 한국사 대탐험 .6 조선의 건국과 발전,김승민 글,보랏빛소
(세계의) 보병 장비 =The infantry equipments of the world,사카모토 아키라 지음,에이케이커뮤니케이션즈
(세상 모든 hello) 농기계들 :뿌리고 가꾸고 수확하고,안명철 글,주니어골든벨
(세상에 단 하나뿐인) 우주 지도,라라 알바네세 글,라이카미
(세상에서 가장 쉬운) 양자역학 수업 :마윈의 과학 스승 리먀오 교수의 재미있는 양자역학 이야기,리먀오 지음,더숲
(세상에서 가장 쉬운) 철학책,사와베 유지 지음,아름다운날
(세상에서 가장 쉬운) 통계학입문,고지마 히로유키 지음,지상사
(세상에서 가장 재미있는) 미적분,래리 고닉 글.그림,궁리출판
(세상의 모든 꿈을 만드는) 드림빌더 :모두가 잠든 순간 꿈의 무대가 펼쳐진다! [비디오녹화자료],킴 하겐 젠슨 [감독],D.seeD(디씨드) [제공]: 미디어포유 [제작/판매]
(소설) 녹정기 :金庸歷史大河小說 .1,김용 [지음],중원문화
(소설) 녹정기 :金庸歷史大河小說 .2,김용 [지음],중원문화
(소설) 녹정기 :金庸歷史大河小說 .3,김용 [지음],중원문화
(속성 독학) 일본어 회화 첫걸음,어학연구소 편저,사사연
(손미나의) 나의 첫 외국어 수업 :언어적 자유를 위한 100일 프로젝트,손미나 지음,토네이도
(손혁의) 투수 멘탈 코칭 :이기는 투수의 마음가짐은 무엇일까,손혁 지음,브레인스토어(BS)
(쇼펜하우어) 인생론,쇼펜 하우어 지음,범우
(수술 없이 좋아지는) 노안 회복법 : 하루 15분 눈 운동법,나카가와 카즈히로 지음,청림Life
(수학원리를 제대로 배운 아이는) 쉽게 계산합니다 :수학에 강한 아이를 만드는 독일 교과서식 사칙연산 곱셈구구,차지혜 지음,블루무스
(수학이 막히면) 깨봉 수학,조봉한 지음,매경주니어 Books: 매경출판
(쉽게 배우는) 새로운 코바늘 손뜨개의 기초 .[2] 실전편: 귀여운 니트 소품 77,일본보그사 편,한스미디어 : 한즈미디어
(쉽게 보는) 난중일기,이순신 지음,여해
(쉽게 생각하고 쉽게 배우는) 수영,신승환,레인보우북스
(슈퍼영웅들을 통해 배우는) 물리학 강의 :슈퍼맨 그게 과학적으로 말이 되니?,제임스 카칼리오스 지음,바이북스
(스콧 켈비의) 자연광 인물사진 찍는 방법,스콧 켈비 지음,정보문화사
(스쿠그의) 기기분석의 이해,Douglas A. Skoog,센게이지러닝코리아(Cengage)
(스펙에 通하다!) 상공회의소 한자,최광희,시대고시기획
(슬기로운) 중학 생활 :입학 준비부터 자유학년제 내신 고등 입시까지 한 권으로 끝내는 중학교 생활 가이드,황유진 지음,생각지도
(시민을 위한) 행정법 입문 =Administrative law,홍준형 [지음],박영사
(시험에 꼭 나오는) 일본어 관용구?사자성어,구라시나 사야카 지음,넥서스Japanese
(식물분류학자 허태임의) 나의 초록목록,허태임 지음,김영사
(신비로운) 차원의 세계 :0차원에서 시작하여 다차원 잉여차원까지 공간과 시공간의 수수께끼를 푼다!,신카이 유미코,북스힐
(신비아파트 고스트볼X의 탄생) 국기사전 :전 세계 198개 국기!,김시연 글,서울문화사
(신비아파트 고스트볼X의 탄생) 퀴즈대도감 :오싹한 퀴즈 172개!!,최원영 [편],서울문화사
(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .2 저주의 대가,김강현 글,서울문화사
(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .3 새로운 봉인 카드,김강현 글,서울문화사
(신비의 섬 작은 멋쟁이) 크레스티드 게코,필립 드 보졸리 지음,씨밀레북스
(신화와 축제의 땅) 그리스 문명 기행,김헌 지음,아카넷
(십대들을 위한) 좀 만만한 수학책 :어쩌다 마주친 재미있는 수학 이야기,오세준 지음,맘에드림
(십대를 위한) 기후변화 이야기 :기후위기 시대의 청소년이 꼭 알아야 할 과학 교양,반기성 지음,메이트북스 : 원앤원콘텐츠그룹
(아디야샨티의) 참된 명상 :참된 자기로 깨어나게 하는 진정한 명상,아디야샨티 [지음],침묵의향기
(아름다운 시대) 라 벨르 에뽀끄 :만화로 떠나는 벨에포크 시대 세계 근대사 여행 .제1권 =La belle epoque,신일용 글?그림,밥북
(아빠가 안 가르쳐 주던) 과학 질문 100,로버트 윈스턴 글,예림당
(아스비에른센과 모에의) 노르웨이 옛이야기 1871,페테르 아스비에른센,오롯
(아이와 함께) London :공짜로 즐기는 프리한 런던 문화여행,김현지 지음,꿈의지도
(안녕과 질서를 지켜주는) 세상 모든 경찰차,안명철 글,주니어골든벨
(알고 보면 쓸모 있는) 엉뚱한 비교 100,스테판 프라티니 글,재미북스
(알기 쉬운) 건축물의 용도,문성훈 저,시공문화사
(알기 쉬운) 최신 VLSI 설계 :CMOS부터 SoC까지,조준동 저,한빛미디어
(알랭 드 보통의) 영혼의 미술관,알랭 드 보통,문학동네
(알수록 다시 보는) 서양미술 100 :그림이 알려주지 않는 그림 속 숨겨진 이야기,차홍규,미래타임즈
(어린이 수사대) 넘버스 .1 절도뤼팽의 등장,김용세 글,와이즈만 Books
(어린이를 위한) 우리말 어감 사전 :말의 속뜻을 잘 이해하고 표현하는 법!,안상순 글,다락원
(엄마의) 수학 공부 :자녀를 수학 우등생으로 키우는 특급 비법,전위성 지음,오리진하우스
(역사 무식자도 쉽게 맥을 잡는) 단박에 한국사 .[2] 현대편,심용환 지음,위즈덤하우스 미디어그룹: 위즈덤하우스
(역사 문화 인문지식이 업그레이드되는) 유쾌한 성경책 =A Guide to the Bible,나가오 다케시 지음,카시오페아
(역사멘토 최태성의) 한국사 .[1] 전근대편 - 소통하는 한국사,최태성 [지음],푸른들녘
(역사멘토 최태성의) 한국사 .[2] 근현대편 - 꿈을 찾는 한국사,최태성 [지음],푸른들녘
(역사저널) 그 날 .1 태조에서 세종까지,지은이:KBS 역사저널 그날제작팀,민음사
(연합뉴스 초대 하노이 특파원이 전하는) 아주 특별한 베트남 이야기,권쾌현 [지음],연합뉴스
(영어식 사고를 길러주는) 영어표현사전 =English expressions dictionary,박정해 편저,베이직북스
(예비교사를 위한 음악교육개론서) 국악 실기교육의 이해,서승미 지음,음악세계
(예쁜 것 만들기 좋아하는 분께) 페이퍼 플라워를 추천합니다,이예솔 지음,휴머니스트출판그룹
(오늘도 걷고 있는) 생각의 낙타 :칼럼으로 읽는 이동용의 철학 에세이,이동용 지음,휴먼컬처아리랑 : 생각쉼표
(오늘부터 조금씩) 제로 웨이스트 :모두의 지구를 위한 작은 행동,장서영 지음,비즈니스맵 : 한올엠앤씨
(오밀조밀 세상을 만든) 수학 :자연의 공통 언어 수리 이야기,김용준 글,봄볕
(왕초보 견주를 위한) 슬기로운 댕댕생활 :반려동물 20년 전문가가 알려주는 반려견 입양부터 케어까지의 필수 애견상식,김미인씨 지음,선비북스
(우리 아이 지혜를 키워 주는 소중한) 전통과학백과,정재은 지음,글송이
(우리 아이 창의력을 키워 주는 신기한) 로봇백과,김수경 지음,글송이
(우리가 사는) 한옥,이상현 글,시공사: 시공주니어
(우리가 지금까지 몰랐던) 향신료의 모든 것,미즈노 진스케 지음,BnCworld(비앤씨월드)
(우주인을 꿈꾸는 초등학생을 위한) 우주여행 안내서,안젤리크 판 옴베르헌,원더박스
(원본) 초한지 .3 =西漢演義,견위 지음,교유서가 : 문학동네
(원빈스님의) 금강경에 물들다 :원빈스님 강설,원빈 지음,이층버스
(원투쓰리 수학이 재밌어지는) 영어 :미국교과서 배우기 전 수학놀이로 만나는 우리 아이 첫 몰입영어,김호정 저,책속물고기
(웰컴 투) 초등 영문법,송원문,Happy House
(위기탈출) 넘버원 .24 남극 대륙 편 - 황제펭귄을 구출하라,에듀코믹 구성,밝은미래
(유식사상으로 보는) 원효의 번뇌론,고은진 저,한그루
(유저를 끌어당기는) 모바일 게임 기획 :기획서 작성부터 취업까지 한 번에!,박형선,BJpublic(비제이퍼블릭)
(유홍준의) 한국미술사 강의 .4 조선 : 건축 불교미술 능묘조각 민속미술 =Story of Korean art,유홍준 지음,눌와
(이야기와 인포그래픽으로 보는) 프랑스 혁명,장 클레망 마르탱 지음,여문책
(이이화 역사 할아버지가 들려주는) 명절 이야기,이이화 원작,파랑새
(이정훈 교수의) 성경적 세계관 :경제 역사 법?정치 문화 철학 영역별 적용: bible,이정훈 지음,PLI
(이해하기 쉽게 풀어쓴) 군주론 :통치자의 의식구조,니콜로 마키아벨리 지음,문지사
(이해한 만큼 보이는) 서양미술 상식사전 =Common sense dictionary of art,아키모토 유지 지음,길벗
(이현세) 만화 삼국지 .6 아 불타는 장강이여,글?그림: 이현세,녹색지팡이&프레스
(이현세) 만화 삼국지 .7 구름 너머 서촉으로,글?그림: 이현세,녹색지팡이&프레스
(이현세) 만화 삼국지 .9 부서지고 스러져도,글?그림: 이현세,녹색지팡이&프레스
(인문사회과학을 위한) 빅데이터 분석방법론 =Big data analytics-methodologies for human sciences,이석민 [지음],윤성사
(인문학을 좋아하는 사람들을 위한) 반야심경,야마나 테츠시 지음,불광출판사
(일주일에 딱 한 번) 초등 첫 글쓰기 수업,이소민 지음,푸른칠판
(읽으면서 바로 써먹는) 어린이 맞춤법,한날 글?그림,파란정원: 책먹는아이
(읽으면서 바로 써먹는) 어린이 사자성어,한날 글?그림,파란정원: 책먹는아이
(읽으면서 바로 써먹는) 어린이 사자소학,이수인 글?그림,파란정원: 책먹는아이
(읽으면서 바로 써먹는) 어린이 퀴즈,한날 글?그림,파란정원: 책먹는아이
(읽으면서 바로 해 보는) 어린이 게임,한날 글?그림,파란정원 : 책먹는아이
(입춘에서 대한까지) 24절기,이영민 글,주니어랜덤
(자동차 퀴즈왕) 바이크의 모든 것 :bikes,루이즈 프리처드,주니어골든벨
(자동차 퀴즈왕) 트럭의 모든 것 :trucks,데보라 뮤렐,주니어골든벨
(자세히 풀어 쓴) 周易四箋,정약용 저,민창사
(자신과 마주하는) 임제록,성윤갑 강설,조계종출판사
(자신의 이름을 지킨) 개 이야기,루이스 세풀베다 [지음],열린책들
(장애 영유아 교사를 위한) 특수아 진단 및 평가,조윤경,공동체
(재밌어서 밤새읽는) 화학 이야기,사마키 다케오 지음,더숲
(저절로 몸에 새겨지는) 몰입 영어 :몰입의 대가 황농문 교수의 궁극의 공부법,황농문 지음,위즈덤하우스미디어그룹
(전국역사교사모임 선생님이 쓴) 제대로 한국사 .1 우리 역사의 시작,전국역사교사모임 지음,휴먼어린이
(전은지 선생님이 들려주는) 도전! 우주 미션,전은지 글,우리학교
(전쟁터의 영웅) 이성계,박영규 [글씀],통큰세상
(절대 배신하지 않는) 공부의 기술 :당신의 노력을 합격으로 바꾸는 14일 완성 공부 습관 프로젝트,이상욱 지음,웅진지식하우스: 웅진씽크빅
(정선) 쌍윳따 니까야,이중표 역해,불광출판사
(정재승의) 인류 탐험 보고서 .1 위대한 모험의 시작,차유진,아울북 : 북이십일
(정재승의) 인류 탐험 보고서 .2 루시를 만나다,차유진,아울북 : 북이십일
(정재승의) 인류 탐험 보고서 .3 달려라 호모 에렉투스!,차유진,아울북 : 북이십일
(조선의 천재들이 벌인) 참혹한 전쟁 :정여립과 천재들의 시대,신정일 지음,상상출판
(조지 뮬러가 경험한) 기도의 재조명,조지 뮬러 지음,가나북스
(종이접기로 만드는) 주름 장신구 :섬유공예에 규방의 지혜를 담다,조하나 지음,미진사
(종횡무진 동서양 역사 속을 달리는) 세계사 버스,이석희 글,니케주니어
(주 안에서) 사람은 바뀐다 :성령의 열매가 맺어지는 복음의 비밀,유기성 지음,규장
(중급자를 위한) 인도네시아어 :단어 어휘 회화,조수민 지음,문예림
(증보 교감완역) 난중일기,이순신 지음,여해
(지리로 읽는) 세계사 지식 55 :로마 제국의 탄생부터 우크라이나 전쟁까지 세계지리로 이해하는 역사적 사건들 : history by geography,세키 신코 지음,반니
(지적인 사람들을 위한) 보수주의 안내서 :개인 가족 사회 역사에 대한 보수의 철학,러셀 커크 지음,지식노마드
(직독직해로 읽는) 어린왕자 =(The) Little Prince,생텍쥐페리 원작,랭귀지북스
(진정한 삶의 의미를 전하는) 인디언의 지혜와 잠언,[다봄] 편집부 지음,다봄
(진중권) 미학 에세이,지은이: 진중권,한겨레출판
(진짜 진짜 재밌는) 동물 그림책 :그림으로 배우는 신기한 지식 백과,톰 잭슨 지음,라이카미: 부즈펌
(진짜 진짜 재밌는) 전투기 그림책 :세밀화로 만나는 53대의 전투기!!,토마스 뉴딕 지음,부즈펌어린이 : 부즈펌
(창의성과 사회성을 키우는) 6?7?8세 종이접기,김현정 지음,종이나라
(창의적인 문제 해결 능력을 키워주는) IT 퍼즐,김종훈,한빛미디어
(창조의 수수께끼를 푼) 레오나르도 다빈치,노성두 지음,아이세움
(처음 시작하는) 미국 학교식 리딩 훈련북,넥서스영어교육연구소 지음,넥서스
(처음 읽는) 동아시아사 .1 선사 시대부터 18세기까지,신주백,휴머니스트 출판그룹(Humanist)
(처음부터 실무까지 완성하는) 게임 기획의 멘토링,박재석 [지음],북스홀릭 publishing
(초간단) HSK 어법,맹영한 지음,大旺社
(초강력!) 세계 UMA 미확인 생물 대백과,아마노 미치히로 감수,코믹컴 : 루덴스미디어
(초등 고학년을 위한) 행복한 청소부,모니카 페트 글,풀빛
(초등 완성) 생각정리 독서법 :저학년 이야기책부터 고학년 지식책까지 주가 주도형 책 읽는 기술,오현선 지음,서사원
(초등부터 시니어까지 누구나 쉽게 무조건 잘 외워지는) super 영단어,영어교재연구원 엮음,예가
(충격주의) 왠지 이상한 동물도감 :동물들의 괴이한 습성에 대한 모든 것,누마가사 와타리 글?그림,MiraeN 아이세움: 미래엔
(카카오프렌즈) 과학 탐정단 :미스터리 과학 학습만화 .1 로봇,김승현 글,대원키즈 : 대원씨아이
(켈러의) 경영경제통계학 :엑셀의 실전적 활용,Gerald Keller 지음,센게이지러닝코리아(CENGAGE)
(쿠키런(Cookierun)) 세계사 .1 선사 시대,동림스토리 글,서울문화사
(쿠키런(Cookierun)) 세계사 .2 세계 4대 문명 : 메소포타미아 이집트 인도 중국,동림스토리 글,서울문화사
(퀴즈!) 과학상식 :3D 프린팅 과학,도기성 지음,글송이
(퀴즈!) 과학상식 :황당 도형 수학,도기성 지음,글송이
(퀴즈!) 과학상식 :황당 연산 수학,도기성 지음,글송이
(퀴즈!) 과학상식 :황당 측정 수학,권찬호 지음,글송이
(퀴즈!) 과학상식 :황당 캠핑 수학,권찬호 지음,글송이
(태영호 증언) 3층 서기실의 암호 :전 영국 주재 북한공사 태영호의 증언,태영호 [지음],기파랑
(토익 300점대도 베테랑 영문기자로 만든) 인공지능을 이기는 영어,박시수 지음,유아이북스
(팀 켈러의) 기도,팀 켈러 지음,두란노
(팀 켈러의) 인생 질문 :예수님을 만나야만 알 수 있는 진리,팀 켈러 지음,두란노 : 두란노서원
(파워) 실전 바둑 .6 일류 감각의 능률 행마법-초반과 중반에서의 급소와 판을 정리하는 능률적 감각 배우기,이수정 엮음,삼호미디어
(판례해설) 민사소송법,이시윤,박영사
(펫로스) 사랑한다 사랑한다 사랑한다,심용희 지음,이담 Books : 한국학술정보
(평생 공부의 기초 체력을 키우는) 문해력 수업 :문해력의 차이는 곧 성적의 차이!,전병규 지음,RHK(알에이치코리아)
(포르쉐 UX 디자이너가 들려주는) 자동차 인터페이스 디자인 :자동차 인터페이스 변천사로 돌아보는 인간 중심 디자인의 과거 현재 그리고 미래,박수레 지음,책만
(품위있고 매혹적인) 고대 이집트 :전 세계의 박물관 소장품에서 선정한 유물로 읽는 문명 이야기,캠벨 프라이스 지음,BM성안북스
(프렌즈) 베트남 :season2 '17~'18 =Vietnam,안진헌 지음,중앙일보플러스: 중앙books
(픽업 아티스트) 연애의 기술 : 밀당의 기술,Kenshin 지음,책과나무
(필립퍼키스의) 사진강의 노트 :사진과 삶에 관한 단상,필립 퍼키스 글?사진,안목
(하이패스) 비즈니스 영어 통번역 :영한 편: ITT 통번역 시험 대비,타임스미디어,시대고시기획
(학예사를 위한) 전시기획입문,윤병화,예문사
(한 권으로 끝내는) 대한민국 5대 특목고 자사고 :대치동 분석 노트,조재형 지음,미래교육
(한 권으로 끝내는) 만화 기초 데생,마크 크릴리 지음,한스미디어
(한 권으로 끝내는) 말하기 영문법 베이직편 =Grammar for speaking. Basic,Sunny Lee 지음,랭귀지북스(Language Books)
(한 권으로 보는) 월리를 찾아라! :travel collection,마틴 핸드포드 글?그림,북메카
(한국어 교사를 위한) 한국어학 개론,민현식,사회평론아카데미
(한국어 교원 자격 취득을 위한) 한국어교육실습,이은경,한국문화사
(한국어 초급1에서 중급1 수준의 33개 문법을 바탕으로 한) 한국어 교안작성 연습,김태은 지음,한국문화사
(한국어 학습 전문가용) 어미?조사 사전,이희자,한국문화사
(한권으로 마스터하는) 치과영어 =Become a master of dental English,김선경,대한나래출판사
(한번 보면 바로 생각나는) New start 몽골어 첫걸음,유원수 지음,삼지사
(한번에 끝내는) 독일어 문법 초중급편 =Deutsche grammatik f?r die grundstufe,안희철 지음,넥서스 : GCC
(허리 통증 잡는) 1분 공체조 :공 위에 누워만 있어도 통증이 사라진다,사카이 신타로 지음,넥서스
(현대) 사활사전,서림바둑편찬회 엮음,서림문화사
(현지에서 바로 먹히는) 나의 첫 여행 스페인어,[동양북스] 교재기획팀,동양북스
(혼자 공부하는 사람들을 위한) 언어논어 :한학과 고대 중국어를 공부하는 독자가 가장 원했던 지점을 포착한 책!,공자 지음,Huine : 한국외국어대학교 지식출판콘텐츠원
(화학 영재를 위한) 원소 지도 주기율표,존 판던 지음,위즈덤하우스
(회사에서 바로 써먹는) 이메일 영어패턴 500 플러스,박지우 지음,넥서스
(힘내라!) 독학 일본어 첫걸음,유세미 지음,다락원
100권의 그림책: 그림책을 사랑하는 모든 이들에게  ,마틴 솔즈베리 지음,시공사: SigongArt
100년 후의 도시를 설계하라 :댈러스 시카고 뉴욕 그리고 서울 : 조재성 교수의 도시 이야기 =Design the city of 100 years later,조재성 지음,Saevit(새빛) : 유피피코리아(UPP Korea)
100년의 난제 :푸앵카레 추측은 어떻게 풀렸을까？,가스가 마사히토 지음,살림Math
100세까지의 독서술 :나이 들어서 책과 사귀는 방법,쓰노 가이타로 지음,북바이북
100초 정치사회 수업 :지금 꼭 알아야 할 필수 지식 원포인트 레슨,CBS 노컷뉴스 씨리얼 제작팀 지음,백도씨: 허밍버드
13?67 :찬호께이 장편소설,찬호께이 [지음],한스미디어: 한즈미디어
15초 영단어 :한 번만 읽으면 평생 잊을 수 없다: TOEIC 완전 정복 3000 보카 수록,요시노 구니아키,윌북
1년 전과 똑같은 고민을 하는 나에게 :늘 같은 곳을 헤매는 나를 위한 철학 상담소,마리 로베르 지음,동양books(동양북스)
1등은 당신처럼 공부하지 않았다 :수능 만점자 30인이 말하는 바로 '내 것'이 되는 진짜 공부법,김도윤 지음,쌤앤파커스
1초마다 세계는,브뤼노 지베르 글?그림,미세기
2 주세요!,김성화,만만한책방
2050 수소에너지 :탈(脫)탄소 경제로의 전환을 위한 에너지게임 체인저: hydrogen,백문석,Raon Book : 라온아시아
20세기 기술의 문화사 :핵 우주 인공지능 생명공학으로 본 야누스의 과학기술,김명진 지음,궁리출판: 궁리
21세기 러시아의 이해 :'포스트 푸틴' 엘리트 올리가르흐 그리고 '푸틴 세대'의 선택,김석환 지음,HU:INE : 한국외국어대학교 지식출판콘텐츠원
21세기 미국의 패권과 지정학 :다가오는 무질서의 세계에서 어떤 국가가 살아남을 것인가,피터 자이한 지음,김앤김북스
