제목,저자,발행처
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .1 프랑스(France),김미영 글,아울북×Kakao Friends: 북이십일 아울북
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .3 일본(Japan),김미영 글,아울북×Kakao Friends : 북이십일 아울북
가면산장 살인사건,히가시노 게이고 지음,재인
나는 독일인입니다 :전쟁과 역사와 죄의식에 대하여,노라 크루크 지음,엘리
나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계,유목민 지음,리더스북 : 웅진씽크빅
넛지 :똑똑한 선택을 이끄는 힘,리처드 탈러,Leader's book: 웅진씽크빅
다정소감 :다정이 남긴 작고 소중한 감정들: 김혼비 산문집,김혼비 지음,안온: 안온북스
다정한 것이 살아남는다,브라이언 헤어,디플롯
달까지 가자 :장류진 장편소설,장류진 지음,창비
더 시스템 :거의 모든 일에 실패하던 자가 결국 큰 성공을 이루어낸 방법 =The system,스콧 애덤스 지음,베리북
두 번째 지구는 없다,타일러 라쉬 글?그림,알에이치코리아(RHK)
만복이네 떡집,김리리 글,비룡소
멋진 신세계,올더스 헉슬리 지음,문예출판사
모래알만 한 진실이라도 :박완서 에세이,박완서 지음,세계사 : 세계사 컨텐츠 그룹
목요일에는 코코아를,아오야마 미치코 지음,문예춘추사
부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길,브라운스톤 지음,Openmind(오픈마인드)
부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,엠제이 드마코 지음,북새통: 토트출판사
새의 선물 :은희경 장편소설,은희경 지음,문학동네
세월,아니 에르노 [지음],1984books
수상한 목욕탕,마쓰오 유미 지음,문예춘추사
숨 :테드 창 소설,테드 창 [지음],엘리 : 북하우스 퍼블리셔스
숨결이 바람 될 때 :서른여섯 젊은 의사의 마지막 순간,폴 칼라니티 지음,흐름출판
시와 산책 =Poetry and walks,한정원 지음,시간의흐름
에그박사 :자연 생물 관찰 만화 : egg&bugs .3,에그박사 원작,MiraeN 아이세움
에그박사 :자연 생물 관찰 만화 : egg&bugs .4,에그박사 원작,MiraeN 아이세움: 미래엔
에그박사 :자연 생물 관찰 만화 : egg&bugs .5,에그박사 원작,MiraeN 아이세움: 미래엔
여름은 오래 그곳에 남아,마쓰이에 마사시 [지음],비채
여행의 기술,알랭 드 보통 지음,청미래
영문법 다시 읽기 준동사 :부정사 동명사 분사,박영재 지음,와이넛북스
예지몽 :히가시노 게이고 소설,히가시노 게이고 [지음],재인
오늘 밤 세계에서 이 사랑이 사라진다 해도,이치조 미사키 지음,바이포엠
오늘도 고바야시 서점에 갑니다,가와카미 데쓰야 지음,현익출판
오래 준비해온 대답 :김영하의 시칠리아,김영하 글?사진,복복서가
오베라는 남자,프레드릭 배크만 [지음],다산책방
옥상에서 만나요 :정세랑 소설집,정세랑 [지음],창비
